Time = 0	 XF = 346.94	 YF = 487.10	 XB = 990.34	 YB = 276.64	 Distance = 676.94
Time = 1	 XF = 365.95	 YF = 480.88	 XB = 903.14	 YB = 205.67	 Distance = 603.58
Time = 2	 XF = 383.75	 YF = 471.76	 XB = 968.24	 YB = 178.89	 Distance = 653.76
Time = 3	 XF = 401.63	 YF = 462.80	 XB = 885.13	 YB = 248.87	 Distance = 528.71
Time = 4	 XF = 419.92	 YF = 454.71	 XB = 852.42	 YB = 233.76	 Distance = 485.67
Time = 5	 XF = 437.73	 YF = 445.61	 XB = 782.86	 YB = 268.93	 Distance = 387.72
Time = 6	 XF = 455.53	 YF = 436.50	 XB = 811.06	 YB = 300.18	 Distance = 380.76
Time = 7	 XF = 474.21	 YF = 429.34	 XB = 851.58	 YB = 220.18	 Distance = 431.46
Time = 8	 XF = 491.70	 YF = 419.64	 XB = 929.04	 YB = 164.10	 Distance = 506.53
Time = 9	 XF = 508.97	 YF = 409.55	 XB = 954.18	 YB = 177.36	 Distance = 502.12
Time = 10	 XF = 526.70	 YF = 400.30	 XB = 941.53	 YB = 252.93	 Distance = 440.23
Time = 11	 XF = 545.55	 YF = 393.61	 XB = 951.64	 YB = 317.34	 Distance = 413.19
Time = 12	 XF = 565.21	 YF = 389.91	 XB = 1034.88	 YB = 284.01	 Distance = 481.46
Time = 13	 XF = 584.72	 YF = 385.52	 XB = 973.56	 YB = 218.31	 Distance = 423.27
Time = 14	 XF = 603.09	 YF = 377.61	 XB = 1054.56	 YB = 290.15	 Distance = 459.87
Time = 15	 XF = 622.72	 YF = 373.81	 XB = 1006.25	 YB = 190.96	 Distance = 424.89
Time = 16	 XF = 640.78	 YF = 365.20	 XB = 986.73	 YB = 106.86	 Distance = 431.77
Time = 17	 XF = 656.80	 YF = 353.24	 XB = 956.98	 YB = 81.44	 Distance = 404.95
Time = 18	 XF = 671.63	 YF = 339.81	 XB = 934.54	 YB = 7.11	 Distance = 424.05
Time = 19	 XF = 684.03	 YF = 324.12	 XB = 1025.41	 YB = -3.73	 Distance = 473.31
Time = 20	 XF = 698.45	 YF = 310.27	 XB = 1091.03	 YB = 30.09	 Distance = 482.30
Time = 21	 XF = 714.73	 YF = 298.65	 XB = 1028.90	 YB = 54.28	 Distance = 398.02
Time = 22	 XF = 730.52	 YF = 286.37	 XB = 1107.58	 YB = -2.60	 Distance = 475.06
Time = 23	 XF = 746.39	 YF = 274.20	 XB = 1170.00	 YB = -57.54	 Distance = 538.05
Time = 24	 XF = 762.14	 YF = 261.87	 XB = 1134.47	 YB = -134.50	 Distance = 543.82
Time = 25	 XF = 775.83	 YF = 247.30	 XB = 1190.51	 YB = -38.98	 Distance = 503.90
Time = 26	 XF = 792.29	 YF = 235.93	 XB = 1147.80	 YB = 12.15	 Distance = 420.08
Time = 27	 XF = 809.22	 YF = 225.28	 XB = 1151.19	 YB = 28.70	 Distance = 394.44
Time = 28	 XF = 826.56	 YF = 215.31	 XB = 1128.38	 YB = -65.07	 Distance = 411.96
Time = 29	 XF = 841.21	 YF = 201.70	 XB = 1034.15	 YB = -24.69	 Distance = 297.45
Time = 30	 XF = 854.18	 YF = 186.48	 XB = 1103.54	 YB = -69.68	 Distance = 357.49
Time = 31	 XF = 868.13	 YF = 172.15	 XB = 1126.59	 YB = -66.43	 Distance = 351.74
Time = 32	 XF = 882.83	 YF = 158.58	 XB = 1219.93	 YB = -165.17	 Distance = 467.39
Time = 33	 XF = 897.25	 YF = 144.73	 XB = 1158.71	 YB = -182.99	 Distance = 419.23
Time = 34	 XF = 909.73	 YF = 129.09	 XB = 1176.69	 YB = -243.18	 Distance = 458.10
Time = 35	 XF = 921.38	 YF = 112.84	 XB = 1089.74	 YB = -208.24	 Distance = 362.54
Time = 36	 XF = 930.67	 YF = 95.13	 XB = 1092.95	 YB = -267.91	 Distance = 397.66
Time = 37	 XF = 938.83	 YF = 76.87	 XB = 1156.24	 YB = -363.97	 Distance = 491.54
Time = 38	 XF = 947.68	 YF = 58.93	 XB = 1126.60	 YB = -395.61	 Distance = 488.48
Time = 39	 XF = 955.00	 YF = 40.32	 XB = 1219.08	 YB = -414.64	 Distance = 526.05
Time = 40	 XF = 965.04	 YF = 23.02	 XB = 1159.03	 YB = -330.87	 Distance = 403.57
Time = 41	 XF = 974.66	 YF = 5.49	 XB = 1118.21	 YB = -357.51	 Distance = 390.35
Time = 42	 XF = 982.01	 YF = -13.11	 XB = 1039.21	 YB = -370.50	 Distance = 361.94
